problem,library,execution_time
ObjectDetection_60,JunctionTrees_v1,3.308326249
ObjectDetection_60,JunctionTrees_v2,0.586848629
ObjectDetection_60,merlin,12.6243
ObjectDetection_60,libdai,29.151145
ObjectDetection_64,TensorInference,0.054433878
ObjectDetection_64,JunctionTrees_v1,0.636346906
ObjectDetection_64,JunctionTrees_v2,0.115116267
ObjectDetection_64,merlin,2.528182
ObjectDetection_64,libdai,6.960618
ObjectDetection_65,TensorInference,0.266043182
ObjectDetection_65,JunctionTrees_v1,3.330819477
ObjectDetection_65,JunctionTrees_v2,0.585266053
ObjectDetection_65,merlin,12.73625
ObjectDetection_65,libdai,30.2844
ObjectDetection_68,TensorInference,0.060621701
ObjectDetection_68,JunctionTrees_v1,0.631482747
ObjectDetection_68,JunctionTrees_v2,0.118497871
ObjectDetection_68,merlin,2.490651
ObjectDetection_68,libdai,6.336567
ObjectDetection_69,TensorInference,0.250095328
ObjectDetection_69,JunctionTrees_v1,3.358428854
ObjectDetection_69,JunctionTrees_v2,0.571651051
ObjectDetection_69,merlin,12.63009
ObjectDetection_69,libdai,30.162756
ObjectDetection_73,TensorInference,0.183084878
ObjectDetection_73,JunctionTrees_v1,3.328434423
ObjectDetection_73,JunctionTrees_v2,0.584110099
ObjectDetection_73,merlin,12.678070000000002
ObjectDetection_73,libdai,28.788348000000003
Promedus_33,TensorInference,0.009331483
Promedus_33,JunctionTrees_v1,0.001424109
Promedus_33,JunctionTrees_v2,0.004013999
Promedus_33,merlin,0.001013
Promedus_33,libdai,0.016195
ObjectDetection_11,TensorInference,0.092053906
ObjectDetection_11,JunctionTrees_v1,0.915977238
ObjectDetection_11,JunctionTrees_v2,0.131023156
ObjectDetection_11,merlin,3.537765
ObjectDetection_11,libdai,8.046667000000001
ObjectDetection_13,TensorInference,1.704268581
ObjectDetection_13,JunctionTrees_v1,10.243668621
ObjectDetection_13,JunctionTrees_v2,2.100230995
ObjectDetection_13,merlin,49.124649999999995
ObjectDetection_13,libdai,104.13220600000001
ObjectDetection_16,TensorInference,1.736880873
ObjectDetection_16,JunctionTrees_v1,10.202642565
ObjectDetection_16,JunctionTrees_v2,2.250800564
ObjectDetection_16,merlin,49.40401
ObjectDetection_16,libdai,103.68841499999999
ObjectDetection_19,TensorInference,1.466698893
ObjectDetection_19,JunctionTrees_v1,10.307018082
ObjectDetection_19,JunctionTrees_v2,2.255872927
ObjectDetection_19,merlin,48.872159999999994
ObjectDetection_19,libdai,103.74238899999999
ObjectDetection_22,TensorInference,0.087334509
ObjectDetection_22,JunctionTrees_v1,0.932523084
ObjectDetection_22,JunctionTrees_v2,0.124733891
ObjectDetection_22,merlin,3.5784650000000005
ObjectDetection_22,libdai,7.847692
ObjectDetection_23,TensorInference,1.763612237
ObjectDetection_23,JunctionTrees_v1,10.022833646
ObjectDetection_23,JunctionTrees_v2,2.251255966
ObjectDetection_23,merlin,47.711800000000004
ObjectDetection_23,libdai,103.64304399999999
ObjectDetection_26,TensorInference,1.359517027
ObjectDetection_26,JunctionTrees_v1,10.414835442
ObjectDetection_26,JunctionTrees_v2,2.204746369
ObjectDetection_26,merlin,48.449169999999995
ObjectDetection_26,libdai,103.571447
ObjectDetection_31,TensorInference,1.117463855
ObjectDetection_31,JunctionTrees_v1,8.660734236
ObjectDetection_31,JunctionTrees_v2,1.695733332
ObjectDetection_31,merlin,34.335089999999994
ObjectDetection_31,libdai,70.75402700000001
ObjectDetection_34,TensorInference,0.075356314
ObjectDetection_34,JunctionTrees_v1,0.761429295
ObjectDetection_34,JunctionTrees_v2,0.081988639
ObjectDetection_34,merlin,2.60017
ObjectDetection_34,libdai,6.103552
ObjectDetection_36,TensorInference,0.961810729
ObjectDetection_36,JunctionTrees_v1,8.668323899
ObjectDetection_36,JunctionTrees_v2,1.720479276
ObjectDetection_36,merlin,34.48189
ObjectDetection_36,libdai,70.67386
ObjectDetection_43,TensorInference,0.874780383
ObjectDetection_43,JunctionTrees_v1,8.681233968
ObjectDetection_43,JunctionTrees_v2,1.741499512
ObjectDetection_43,merlin,34.75407
ObjectDetection_43,libdai,70.219111
ObjectDetection_46,TensorInference,0.0642061
ObjectDetection_46,JunctionTrees_v1,0.7592076
ObjectDetection_46,JunctionTrees_v2,0.080540897
ObjectDetection_46,merlin,2.5200810000000002
ObjectDetection_46,libdai,6.010661
ObjectDetection_48,TensorInference,0.947970978
ObjectDetection_48,JunctionTrees_v1,8.771654118
ObjectDetection_48,JunctionTrees_v2,1.674932368
ObjectDetection_48,merlin,34.88951
ObjectDetection_48,libdai,70.479444
ObjectDetection_51,TensorInference,0.066011957
ObjectDetection_51,JunctionTrees_v1,0.787447642
ObjectDetection_51,JunctionTrees_v2,0.081854495
ObjectDetection_51,merlin,2.574668
ObjectDetection_51,libdai,6.039648000000001
ObjectDetection_53,TensorInference,1.210617862
ObjectDetection_53,JunctionTrees_v1,8.594000099
ObjectDetection_53,JunctionTrees_v2,1.674912483
ObjectDetection_53,merlin,34.77737
ObjectDetection_53,libdai,70.504105
ObjectDetection_55,TensorInference,1.031674061
ObjectDetection_55,JunctionTrees_v1,8.650232168
ObjectDetection_55,JunctionTrees_v2,1.674992366
ObjectDetection_55,merlin,35.05542
ObjectDetection_55,libdai,70.01313800000001
ObjectDetection_59,TensorInference,1.051413028
ObjectDetection_59,JunctionTrees_v1,8.602582223
ObjectDetection_59,JunctionTrees_v2,1.658469625
ObjectDetection_59,merlin,35.08908
ObjectDetection_59,libdai,70.32250599999999
ObjectDetection_61,TensorInference,0.059232616
ObjectDetection_61,JunctionTrees_v1,0.767865541
ObjectDetection_61,JunctionTrees_v2,0.082509515
ObjectDetection_61,merlin,2.531198
ObjectDetection_61,libdai,6.076722
ObjectDetection_63,TensorInference,1.054308176
ObjectDetection_63,JunctionTrees_v1,8.883872903
ObjectDetection_63,JunctionTrees_v2,1.672147158
ObjectDetection_63,merlin,34.82037
ObjectDetection_63,libdai,70.18486
ObjectDetection_67,TensorInference,1.077349115
ObjectDetection_67,JunctionTrees_v1,8.67827008
ObjectDetection_67,JunctionTrees_v2,1.697651488
ObjectDetection_67,merlin,34.36739
ObjectDetection_67,libdai,69.902714
ObjectDetection_70,TensorInference,0.06233538
ObjectDetection_70,JunctionTrees_v1,0.789864201
ObjectDetection_70,JunctionTrees_v2,0.087248066
ObjectDetection_70,merlin,2.7329489999999996
ObjectDetection_70,libdai,6.421100999999999
ObjectDetection_72,TensorInference,1.501041515
ObjectDetection_72,JunctionTrees_v1,8.610815625
ObjectDetection_72,JunctionTrees_v2,1.657480522
ObjectDetection_72,merlin,34.552240000000005
ObjectDetection_72,libdai,70.756589
ObjectDetection_74,TensorInference,0.065152849
ObjectDetection_74,JunctionTrees_v1,0.773554289
ObjectDetection_74,JunctionTrees_v2,0.081125634
ObjectDetection_74,merlin,2.590554
ObjectDetection_74,libdai,6.106869
ObjectDetection_29,TensorInference,1.623788818
